Family_Scientific,Family_Common,General_characteristics_Australia_focused,Rainforest_species_present?,Examples from your list,Familiar / interesting native Australian examples and approximate diversity,Key_references
Sapindaceae,NA,"Sapindaceae includes rainforest trees, shrubs and climbers with colourful fleshy fruits often dispersed by birds. Many Australian species occur in tropical and subtropical rainforests.",Strong yes,"Jagera pseudorhus, Alectryon spp.","Native tamarinds (Diploglottis spp.), hairy pear fruits (Alectryon spp.; ~20 species). Several species produce edible fruits and play important roles in rainforest food webs.",https://apps.lucidcentral.org/rainforest/text/entities/sapindaceae.htm ; https://profiles.ala.org.au/opus/foa/profile/Sapindaceae ; https://anpsa.org.au/plant-family/sapindaceae/
Euphorbiaceae,spurge family,"Euphorbiaceae is a diverse family of herbs, shrubs and trees often characterised by milky sap and specialised seed capsules. Many Australian species occur in rainforests and dry woodlands.",Yes,"Croton arnhemicus, Excoecaria parvifolia","Cheese trees (Glochidion ferdinandi), snowbush relatives (Breynia spp.). Some species disperse seeds explosively, ejecting them several metres from the parent plant.",https://profiles.ala.org.au/opus/foa/profile/Euphorbiaceae ; https://apps.lucidcentral.org/rainforest/text/entities/euphorbiaceae.htm ; https://anpsa.org.au/plant-family/euphorbiaceae/
Convolvulaceae,morning glory family,"Convolvulaceae includes climbing vines and trailing herbs with trumpet-shaped flowers. Australian species occur in coastal systems, forests and inland habitats.",Minor,Mostly open/disturbed habitats,"Beach morning glory (Ipomoea pes-caprae), bindweeds (Convolvulus spp.). Coastal species play an important role in stabilising sand dunes against erosion.",https://anpsa.org.au/plant-family/convolvulaceae/ ; https://profiles.ala.org.au/opus/foa/profile/Convolvulaceae ; https://www.anbg.gov.au/cpbr/cd-keys/rfk/key/rainforest/Media/Html/families/Convolvulaceae.htm
Rubiaceae,coffee family,Rubiaceae includes rainforest shrubs and small trees often with glossy opposite leaves and fleshy fruits. Many species are bird dispersed and important components of subtropical rainforests.,Strong yes,"Psychotria, Psydrax, Cyclophyllum","Native coffees (Psychotria spp.), native gardenias (Atractocarpus spp.). Fruits are eaten by rainforest birds and mammals, assisting seed dispersal through dense forests.",https://apps.lucidcentral.org/rainforest/text/entities/rubiaceae.htm ; https://profiles.ala.org.au/opus/foa/profile/Rubiaceae ; https://anpsa.org.au/plant-family/rubiaceae/
Asparagaceae,NA,"Australian members of Asparagaceae include hardy monocots adapted to drought, fire and poor soils. Many species survive harsh conditions through underground rhizomes or storage organs.",Minor,Some moist forest understory taxa,"Mat-rushes (Lomandra spp.; ~50 species), scrambling lily (Geitonoplesium cymosum). Lomandra leaves were traditionally used for weaving baskets, nets and string.",https://anpsa.org.au/plant_profiles/lomandra-species/ ; https://profiles.ala.org.au/opus/foa/profile/Asparagaceae ; https://www.anbg.gov.au/gnp/interns-2008/lomandra-longifolia.html
Amaranthaceae,NA,"Amaranthaceae includes many hardy herbs and shrubs adapted to arid, saline and disturbed environments. The family is especially important in inland Australia.",No,Mostly chenopod/arid taxa,"Joyweeds (Alternanthera spp.), pigface relatives and desert herbs. Many species tolerate extreme salinity, drought and heat that would kill less specialised plants.",https://profiles.ala.org.au/opus/foa/profile/Amaranthaceae ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia ; https://anpsa.org.au/plant-family/amaranthaceae/
Ericaceae,heath family,Ericaceae is especially important in Australian heathlands and alpine ecosystems where soils are nutrient poor and acidic. Many species produce nectar-rich flowers attractive to birds and insects.,Strong yes,"Epacris, Richea, Acrothamnus (cool temperate wet systems)","Australian heaths (Epacris spp.; ~40 species), pink mountain berry (Leptecophylla juniperina). Heathlands are among Australia’s most species-rich vegetation communities.",https://anpsa.org.au/plant_profiles/epacris-species/ ; https://profiles.ala.org.au/opus/foa/profile/Ericaceae ; https://www.anbg.gov.au/heaths/index.html
Santalaceae,NA,Santalaceae includes parasitic and semi-parasitic plants that connect to the roots of neighbouring species to obtain water and nutrients. The family is widespread in arid and semi-arid Australia.,Minor,Some rainforest hemiparasites,"Quandongs (Santalum acuminatum), native cherries (Exocarpos cupressiformis). Quandong fruits were important traditional bushfoods and are still widely used in jams and desserts today.",https://anpsa.org.au/plant_profiles/santalum-acuminatum/ ; https://profiles.ala.org.au/opus/foa/profile/Santalaceae ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia
Lamiaceae,mint family,Lamiaceae contains aromatic herbs and shrubs usually recognised by square stems and paired leaves. Many Australian species contain essential oils and are important nectar plants.,Minor,Mostly shrub/open taxa,"Native mints (Prostanthera spp.; ~100 species), coastal rosemary (Westringia fruticosa). Many species release strong fragrances when crushed and are popular garden plants.",https://anpsa.org.au/plant_profiles/prostanthera-species/ ; https://profiles.ala.org.au/opus/foa/profile/Lamiaceae ; https://anpsa.org.au/plant-family/lamiaceae/
Lauraceae,laurel family,Lauraceae is a rainforest family of aromatic trees and shrubs producing fleshy fruits. Australian representatives are concentrated in subtropical and tropical rainforests.,"Yes potentially, but very underrepresented",Lauraceae are classic rainforest trees though few/no obvious strong examples in this list,"Laurel trees (Cryptocarya spp.; ~20 Australian species), sassafras (Doryphora sassafras). Many fruits are eaten by cassowaries and rainforest pigeons which disperse seeds over long distances.",https://apps.lucidcentral.org/rainforest/text/entities/lauraceae.htm ; https://profiles.ala.org.au/opus/foa/profile/Lauraceae ; https://anpsa.org.au/plant-family/lauraceae/
Dilleniaceae,NA,Dilleniaceae includes shrubs and climbers often recognised by large yellow flowers and numerous prominent stamens. Australia is a major centre of diversity for the family.,Minor-moderate,Some wet forest Hibbertia,Guinea flowers (Hibbertia spp.; >150 Australian species). Hibbertia is one of Australia’s largest endemic flowering plant genera and is especially diverse in heathlands.,https://anpsa.org.au/plant_profiles/hibbertia-species/ ; https://profiles.ala.org.au/opus/foa/profile/Dilleniaceae ; https://anpsa.org.au/plant-family/dilleniaceae/
Apocynaceae,NA,"Apocynaceae includes climbers, shrubs and trees often producing milky sap and elaborate flowers. Many Australian species occur in rainforests and tropical woodlands.",Yes,"Wrightia, Alyxia, rainforest vines/trees","Kangaroo vine (Marsdenia rostrata), native jasmines (Parsonsia spp.), wax flowers (Hoya spp.). Many species produce silky wind-dispersed seeds adapted for long-distance dispersal.",https://profiles.ala.org.au/opus/foa/profile/Apocynaceae ; https://apps.lucidcentral.org/rainforest/text/entities/apocynaceae.htm ; https://anpsa.org.au/plant-family/apocynaceae/
Solanaceae,nightshade family,Solanaceae includes herbs and shrubs with star-shaped flowers and fleshy berries. Australia has a remarkable diversity of native Solanum species adapted to arid and semi-arid environments.,Minor,Mostly non-rainforest,"Kangaroo apples (Solanum spp.), native tobaccos (Nicotiana spp.). Several native Solanum species are pollinated by buzz-pollinating bees that vibrate flowers to release pollen.",https://anpsa.org.au/plant-family/solanaceae/ ; https://profiles.ala.org.au/opus/foa/profile/Solanaceae ; https://www.anbg.gov.au/gnp/interns-2002/solanum.html
Casuarinaceae,NA,"Casuarinaceae includes Australia’s distinctive she-oaks and she-banksias, recognised by needle-like branchlets that resemble pine needles. Many species are adapted to poor soils and dry climates.",Minor,Mostly dry forest,"She-oaks (Casuarina spp.; 6 Australian species), Allocasuarina spp. (~59 species). Their “needles” are actually modified stems and many species fix atmospheric nitrogen through root symbioses.",https://www.agriculture.gov.au/abares/forestsaustralia/australias-forests/profiles/casuarina-2019 ; https://profiles.ala.org.au/opus/foa/profile/Casuarinaceae ; https://anpsa.org.au/plant_profiles/casuarina-and-allocasuarina-species/
Rutaceae,citrus family,Rutaceae includes aromatic shrubs and trees rich in essential oils. Australia is especially diverse in native boronias and rainforest citrus relatives.,Yes,Some rainforest shrubs/trees,"Boronias (Boronia spp.; ~160 species), corkwoods (Melicope spp.), pink euodia (Melicope elleryana). Boronias are prized for their fragrance and are among Australia’s most admired native flowering shrubs.",https://anpsa.org.au/plant_profiles/boronia-species/ ; https://profiles.ala.org.au/opus/foa/profile/Rutaceae ; https://apps.lucidcentral.org/rainforest/text/entities/rutaceae.htm
Aizoaceae,pigface family,"Aizoaceae is best known in Australia for succulent coastal and arid-zone plants adapted to drought, salt spray and intense sunlight. Many species have fleshy water-storing leaves and brightly coloured flowers that open in strong sunlight.",No,Coastal/arid succulents,"Pigfaces (Carpobrotus spp.; ~6 Australian species), noon flowers (Disphyma spp.). Pigface fruits were eaten by Indigenous Australians and the plants are important dune stabilisers along Australian coastlines.",https://profiles.ala.org.au/opus/foa/profile/Aizoaceae ; https://anpsa.org.au/plant-family/aizoaceae/ ; https://www.anbg.gov.au/gnp/interns-2007/carpobrotus-glaucescens.html
Brassicaceae,mustard family,"Brassicaceae includes herbs with four-petalled flowers arranged in a cross shape, giving rise to the older family name Cruciferae. Australian native species occur in alpine, arid and coastal habitats, though the family is also well known globally for vegetables and agricultural crops. Many Australian species are small annual herbs that respond rapidly to seasonal rainfall.",No,Mostly disturbed/open,"Native peppercresses (Lepidium spp.), native cresses (Rorippa spp.), bittercresses (Cardamine spp.). Many species produce pungent mustard oils that help deter herbivores and pathogens.",https://profiles.ala.org.au/opus/foa/profile/Brassicaceae ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia ; https://anpsa.org.au/plant-family/brassicaceae/
Phyllanthaceae,NA,"Phyllanthaceae is a largely tropical and subtropical family of shrubs and small trees, formerly included within Euphorbiaceae. Many Australian species occur in rainforests and monsoon forests where they form part of the understory vegetation.",Yes,"Breynia oblongifolia, Flueggea","Leaf flowers (Phyllanthus spp.), native gooseberries (Antidesma spp.). Some species have unusual flattened branch systems that resemble compound leaves.",https://profiles.ala.org.au/opus/foa/profile/Phyllanthaceae ; https://apps.lucidcentral.org/rainforest/text/entities/phyllanthaceae.htm ; https://anpsa.org.au/plant-family/phyllanthaceae/
Apiaceae,carrot family,"Apiaceae includes aromatic herbs with umbrella-like flower clusters called umbels. Australian native species are especially diverse in alpine, temperate and wetland habitats. Many species contain strongly scented oils.",Minor,Alpine/wet herbfields,"Native celery (Apium prostratum), pennyworts (Hydrocotyle spp.), sea parsley (Apium spp.). Several alpine species are adapted to frost, snow and short growing seasons.",https://profiles.ala.org.au/opus/foa/profile/Apiaceae ; https://anpsa.org.au/plant-family/apiaceae/ ; https://www.anbg.gov.au/cpbr/cd-keys/rfk/key/rainforest/Media/Html/families/Apiaceae.htm
Portulacaceae,NA,"Portulacaceae contains succulent herbs often associated with rocky outcrops, dry grasslands and arid environments. Species are highly adapted to water storage and heat tolerance.",No,Mostly arid/open,"Purslanes (Portulaca spp.), including native desert purslanes. Some Australian species can remain dormant for long periods and germinate rapidly after rainfall.",https://profiles.ala.org.au/opus/foa/profile/Portulacaceae ; https://anpsa.org.au/plant-family/portulacaceae/ ; https://florabase.dbca.wa.gov.au/browse/profile/22886
Boraginaceae,NA,Boraginaceae includes herbs and shrubs often recognised by rough hairy leaves and curled flower buds. Many Australian species are associated with inland and semi-arid habitats.,Minor,Mostly dry/open,"Native forget-me-nots (Halgania spp.), bluebells (Cynoglossum spp.). Some species change flower colour as they age or after pollination.",https://profiles.ala.org.au/opus/foa/profile/Boraginaceae ; https://anpsa.org.au/plant-family/boraginaceae/ ; https://florabase.dbca.wa.gov.au/browse/profile/22758
Zygophyllaceae,NA,Zygophyllaceae is strongly associated with Australia’s arid interior. Many species are drought-resistant shrubs or herbs with small leaves and tough seed capsules adapted to extreme heat and low rainfall.,No,Arid specialists,"Twin-leaf plants (Zygophyllum spp.), stinkweed (Tribulus spp.). Several species can survive prolonged drought by remaining dormant until rainfall triggers rapid growth.",https://profiles.ala.org.au/opus/foa/profile/Zygophyllaceae ; https://anpsa.org.au/plant-family/zygophyllaceae/ ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia
Rhamnaceae,NA,"Rhamnaceae includes shrubs and small trees common in forests, heathlands and dry woodlands. Many Australian species have small but intricate flowers and play important roles in post-disturbance recovery.",Yes,Alphitonia excelsa,"Native pomaderis (Pomaderris spp.; ~70 species), red ash (Alphitonia excelsa). Several species are among the first plants to regenerate after fire.",https://profiles.ala.org.au/opus/foa/profile/Rhamnaceae ; https://anpsa.org.au/plant-family/rhamnaceae/ ; https://apps.lucidcentral.org/rainforest/text/entities/rhamnaceae.htm
Geraniaceae,geranium family,Geraniaceae includes herbs with deeply divided leaves and distinctive beak-shaped fruits that inspired common names such as cranesbill and storksbill. Australian species are common in grasslands and open forests.,No major rainforest taxa,,"Native geraniums (Geranium spp.), storksbills (Pelargonium australe). The long seed capsules can spring open explosively, flicking seeds away from the parent plant.",https://profiles.ala.org.au/opus/foa/profile/Geraniaceae ; https://anpsa.org.au/plant-family/geraniaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/8f0a0d5f-6d1c-4c39-95f8-d0a0c7b5b70e
Hemerocallidaceae,NA,Australian representatives are mostly tufted herbs with strappy leaves and colourful flowers adapted to dry climates and nutrient-poor soils. Many are popular in landscaping because of their hardiness.,Minor,Moist understory monocots,Flax lilies (Dianella spp.; ~40 Australian species). Many species produce striking blue or purple berries eaten by birds and small mammals.,https://profiles.ala.org.au/opus/foa/profile/Hemerocallidaceae ; https://anpsa.org.au/plant_profiles/dianella-species/ ; https://www.anbg.gov.au/gnp/interns-2005/dianella.html
Combretaceae,NA,"Combretaceae is a tropical family of trees and shrubs common in northern Australia, especially in monsoon forests, savannas and river systems. Many species are deciduous during the dry season.",Minor-moderate,Monsoon forest Terminalia spp.,"Damson trees (Terminalia spp.), pindan walnut (Terminalia canescens). Several species produce winged fruits adapted for wind or water dispersal.",https://profiles.ala.org.au/opus/foa/profile/Combretaceae ; https://apps.lucidcentral.org/rainforest/text/entities/combretaceae.htm ; https://anpsa.org.au/plant-family/combretaceae/
Thymelaeaceae,NA,Thymelaeaceae includes shrubs and small trees often recognised by fibrous bark and strongly scented flowers. Many Australian species occur in heathlands and sandy soils.,Minor,Mostly heath/open,Rice flowers (Pimelea spp.; >100 Australian species). Some species are highly toxic to livestock while others are prized native ornamentals.,https://profiles.ala.org.au/opus/foa/profile/Thymelaeaceae ; https://anpsa.org.au/plant_profiles/pimelea-species/ ; https://florabase.dbca.wa.gov.au/browse/profile/22900
Haloragaceae,NA,Haloragaceae contains mostly aquatic or wetland plants associated with freshwater systems throughout Australia. Many species can grow submerged underwater while flowering above the surface.,No rainforest specialists,,"Milfoils (Myriophyllum spp.). These plants are important habitat for aquatic insects, fish and frogs.",https://profiles.ala.org.au/opus/foa/profile/Haloragaceae ; https://anpsa.org.au/plant-family/haloragaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/0c7c7fd8-8d34-4c9d-96e5-4f7dbb63a6e1
Pteridaceae,NA,"Pteridaceae is a large fern family containing species adapted to cliffs, rocky outcrops, rainforests and moist gullies. Ferns reproduce via spores rather than seeds or flowers.",Yes,"Adiantum aethiopicum, rainforest/moist forest ferns","Maidenhair ferns (Adiantum spp.), brake ferns (Pteris spp.). Maidenhair ferns are among Australia’s most recognisable and widely cultivated native ferns.",https://profiles.ala.org.au/opus/foa/profile/Pteridaceae ; https://www.anbg.gov.au/ferns/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/ce1b3a11-c2c0-4fd5-a0f7-ecfba3d89b40
Loranthaceae,mistletoe family,"Loranthaceae contains Australia’s spectacular aerial mistletoes, which grow parasitically on tree branches while still photosynthesising. Mistletoes are ecologically important components of woodland ecosystems.",Minor,Some rainforest mistletoes,Australian mistletoes (Amyema spp.; ~90 species). Their nectar-rich flowers attract honeyeaters and many birds rely on mistletoe fruits for food.,https://profiles.ala.org.au/opus/foa/profile/Loranthaceae ; https://birdlife.org.au/news/australias-mistletoes/ ; https://anpsa.org.au/plant-family/loranthaceae/
Araliaceae,NA,"Araliaceae includes rainforest trees, shrubs and climbers often with glossy leaves and umbrella-like flower clusters. Many Australian species occur in tropical and subtropical forests.",Surprisingly absent/limited,Usually rainforest-rich family,"Native umbrella trees (Schefflera actinophylla), ivy panax (Polyscias spp.). Large flowering clusters can attract birds, bats and insects.",https://profiles.ala.org.au/opus/foa/profile/Araliaceae ; https://apps.lucidcentral.org/rainforest/text/entities/araliaceae.htm ; https://anpsa.org.au/plant-family/araliaceae/
Xanthorrhoeaceae,grass tree family,"This family is famous for Australia’s iconic grass trees, which are strongly associated with fire-prone landscapes. Grass trees grow extremely slowly and some individuals may live for several centuries.",No rainforest specialists,,Grass trees (Xanthorrhoea spp.; ~30 species). Their dramatic flowering spikes often appear in abundance after bushfires and can reach several metres in height.,https://profiles.ala.org.au/opus/foa/profile/Xanthorrhoeaceae ; https://anpsa.org.au/plant_profiles/xanthorrhoea-species/ ; https://www.australiangeographic.com.au/topics/science-environment/2018/06/australian-grass-trees/
Cupressaceae,NA,"Australia’s native cypress pines belong to this ancient conifer family and are well adapted to drought, poor soils and fire-prone landscapes.",No,Mostly dry forests,Cypress pines (Callitris spp.; ~16 Australian species). Their timber is naturally termite resistant and highly valued for building and furniture making.,https://profiles.ala.org.au/opus/foa/profile/Cupressaceae ; https://anpsa.org.au/plant_profiles/callitris-species/ ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia
Picrodendraceae,NA,Picrodendraceae is a mainly tropical family of shrubs and trees formerly grouped within Euphorbiaceae. Australian representatives are found mostly in northern forests and woodlands.,Yes,Petalostigma spp. (dry rainforest/vine thicket),Quinine trees (Petalostigma spp.). Some species have fruits traditionally used medicinally by Indigenous Australians.,https://profiles.ala.org.au/opus/foa/profile/Picrodendraceae ; https://apps.lucidcentral.org/rainforest/text/entities/picrodendraceae.htm ; https://anpsa.org.au/plant-family/picrodendraceae/
Pittosporaceae,NA,"Pittosporaceae includes shrubs and trees common in rainforests, woodlands and coastal habitats. Many species have fragrant flowers and sticky seeds adapted for bird dispersal.",Yes,Pittosporum angustifolium marginally; family rainforest-rich generally,Cheesewoods (Pittosporum spp.; ~50 Australian species). Sticky orange seeds are often carried by birds after being eaten or attached to feathers.,https://profiles.ala.org.au/opus/foa/profile/Pittosporaceae ; https://anpsa.org.au/plant-family/pittosporaceae/ ; https://apps.lucidcentral.org/rainforest/text/entities/pittosporaceae.htm
Celastraceae,NA,"Celastraceae includes shrubs, climbers and small trees found in forests, rainforests and semi-arid regions. Several Australian species produce brightly coloured fruits attractive to birds.",Yes,Denhamia cunninghamii,"Native bittersweets (Maytenus spp.), climbing staff vines (Celastrus australis). Some species have striking orange or red seed capsules that split open when mature.",https://profiles.ala.org.au/opus/foa/profile/Celastraceae ; https://anpsa.org.au/plant-family/celastraceae/ ; https://apps.lucidcentral.org/rainforest/text/entities/celastraceae.htm
Droseraceae,sundew family,Australia is one of the world’s major centres of diversity for carnivorous plants in the Droseraceae family. These remarkable plants are adapted to nutrient-poor soils and capture insects using sticky glandular leaves. Many species occur in sandy heathlands and seasonally wet habitats.,No rainforest taxa,,Sundews (Drosera spp.; >180 Australian species). Some species can rapidly curl their leaves around trapped insects to improve digestion and nutrient uptake.,https://profiles.ala.org.au/opus/foa/profile/Droseraceae ; https://www.anbg.gov.au/carnivorous/plants/drosera-intro.html ; https://anpsa.org.au/plant-family/droseraceae/
Restionaceae,NA,"Restionaceae contains rush-like plants strongly associated with nutrient-poor sandy soils and heathlands, particularly in southwestern Australia. Many species resemble sedges or rushes but belong to a distinct evolutionary lineage.",Wet heath yes,Not rainforest proper,"Restios (Lepyrodia spp., Baloskion spp.). Many species are wind pollinated and form dense understorey vegetation in coastal heathlands.",https://profiles.ala.org.au/opus/foa/profile/Restionaceae ; https://anpsa.org.au/plant-family/restionaceae/ ; https://www.anbg.gov.au/cpbr/cd-keys/rfk/key/rushes/Media/Html/families/Restionaceae.htm
